label;group;biol_repl;tech_repl
LFQ.intensity.UnstimNT1_S3.A1_1_12581;NT;1;1
LFQ.intensity.UnstimNT1_S3.A2_1_12582;NT;1;2
LFQ.intensity.UnstimNT2_S3.A3_1_12583;NT;2;1
LFQ.intensity.UnstimNT2_S3.A4_1_12584;NT;2;2
LFQ.intensity.UnstimNT3_S3.A5_1_12585;NT;3;1
LFQ.intensity.UnstimNT3_S3.A6_1_12586;NT;3;2
LFQ.intensity.Unstim12B1_S3.A7_1_12588;G12D_unstim;1;1
LFQ.intensity.Unstim12B1_S3.A8_1_12589;G12D_unstim;1;2
LFQ.intensity.Unstim12B2_S3.A9_1_12590;G12D_unstim;2;1
LFQ.intensity.Unstim12B2_S3.A10_1_12591;G12D_unstim;2;2
LFQ.intensity.Unstim12B3_S3.A11_1_12592;G12D_unstim;3;1
LFQ.intensity.Unstim12B3_S3.A12_1_12593;G12D_unstim;3;2
LFQ.intensity.Demog12B1_S3.B1_1_12596;G12D_DMOG;1;1
LFQ.intensity.Demog12B1_S3.B2_1_12597;G12D_DMOG;1;2
LFQ.intensity.Demog12B2_S3.B3_1_12598;G12D_DMOG;2;1
LFQ.intensity.Demog12B2_S3.B4_1_12599;G12D_DMOG;2;2
LFQ.intensity.Demog12B3_S3.B5_1_12600;G12D_DMOG;3;1
LFQ.intensity.Demog12B3_S3.B6_1_12601;G12D_DMOG;3;2
LFQ.intensity.IL6_12B1_S3.B7_1_12603;G12D_IL6;1;1
LFQ.intensity.IL6_12B1_S3.B8_1_12604;G12D_IL6;1;2
LFQ.intensity.IL6_12B2_S3.B9_1_12605;G12D_IL6;2;1
LFQ.intensity.IL6_12B2_S3.B10_1_12606;G12D_IL6;2;2
LFQ.intensity.IL6_12B3_S3.B11_1_12607;G12D_IL6;3;1
LFQ.intensity.IL6_12B3_S3.B12_1_12608;G12D_IL6;3;2
LFQ.intensity.PGE2_1_S1.A1_1_12610;G12D_PGE2;1;1
LFQ.intensity.PGE2_1_S1.A2_1_12611;G12D_PGE2;1;2
LFQ.intensity.PGE2_2_S1.A3_1_12612;G12D_PGE2;2;1
LFQ.intensity.PGE2_2_S1.A4_1_12613;G12D_PGE2;2;2
LFQ.intensity.PGE2_3_S1.A5_1_12614;G12D_PGE2;3;1
LFQ.intensity.PGE2_3_S1.A6_1_12615;G12D_PGE2;3;2
LFQ.intensity.EGF_1_S1.A7_1_12617;G12D_EGF;1;1
LFQ.intensity.EGF_1_S1.A8_1_12618;G12D_EGF;1;2
LFQ.intensity.EGF_2_S1.A9_1_12619;G12D_EGF;2;1
LFQ.intensity.EGF_2_S1.A10_1_12620;G12D_EGF;2;2
LFQ.intensity.EGF_3_S3.B1_1_12638;G12D_EGF;3;1
LFQ.intensity.EGF_3_S3.B2_1_12639;G12D_EGF;3;2
LFQ.intensity.12DTNF2_1_S3.B3_1_12641;G12D_TNFa;1;1
LFQ.intensity.12DTNF2_1_S3.B4_1_12642;G12D_TNFa;1;2
LFQ.intensity.12DTNF2_2_S3.A3_1_12626;G12D_TNFa;2;1
LFQ.intensity.12DTNF2_2_S3.A4_1_12627;G12D_TNFa;2;2
LFQ.intensity.12DTNF2_3_S3.A5_1_12628;G12D_TNFa;3;1
LFQ.intensity.12DTNF2_3_S3.A6_1_12629;G12D_TNFa;3;2
LFQ.intensity.RIPA_1_S3.A7_1_12631;ripa;1;1
LFQ.intensity.RIPA_1_S3.A8_1_12632;ripa;1;2
LFQ.intensity.RIPA_2_S3.A9_1_12633;ripa;2;1
LFQ.intensity.RIPA_2_S3.A10_1_12634;ripa;2;2
LFQ.intensity.RIPA_3_S3.A11_1_12635;ripa;3;1
LFQ.intensity.RIPA_3_S3.A12_1_12636;ripa;3;2
